순번,학원 및 교습소명,주소
197,글로벌영남간호학원,대구광역시 중구 중앙대로 390   센트럴엠 10층 (동성로3가)
198,수성프라임영어학원,대구광역시 수성구 달구벌대로 2482  5층 (범어동 진 빌딩)
199,비타잉글리쉬학원,대구광역시 동구 송라로11길 57 (신천동)
200,청맥학원,대구광역시 수성구 달구벌대로 3311 2층(사월동)
201,SAT칸토르학원,대구광역시 수성구 달구벌대로 2522   2층 (범어동)
202,영남웅변스피치학원,대구광역시 수성구 달구벌대로 2275 수성동4가 4층
203,동호한빛학원,대구광역시 동구 금강로 2   4층 (동호동)
204,위즈(Wiz)영어수학학원,대구광역시 동구 안심로49길 73 (서호동)
205,아르키매스수학학원,대구광역시 수성구 범어로24길 6 (범어동) 2층 3층 4층 일부
206,문쌤입시학원,대구광역시 동구 효목로19길 1-3  1~3층 (효목동)
207,제티영어입시학원,대구광역시 수성구 청호로 424 6층(범어동)
208,범어1셜대학원,대구광역시 수성구 달구벌대로 2490  4-6층 (범어동)
209,황금셜대학원,대구광역시 수성구 청호로 297 황금동 2층
210,영남회계실무아카데미학원,대구광역시 수성구 달구벌대로 3320   2층 (신매동)
211,몬트레이영어학원,대구광역시 수성구 지범로 167  12층 1202호 (지산동 지산메디지오)
212,ELA어학원,대구광역시 중구 달구벌대로 2122-1   1층 2층 (봉산동)
213,비탑영어1등급학원,대구광역시 수성구 달구벌대로 2529 10층(범어동)
214,메이플베어캐나다문화어학원,대구광역시 수성구 동대구로 102   4층 5층 (지산동)
215,영어는에스티엘어학원,대구광역시 수성구 달구벌대로496길 60  3층 (범어동)
216,이룸외국어학원,대구광역시 수성구 용학로 294   3층 (범물동)
217,아발론교육대구어학원,대구광역시 수성구 달구벌대로 2482  7층 (범어동)
218,POLY어학원,대구광역시 수성구 수성로58길 55  1층일부 2~3층 (수성동2가)
219,원더랜드외국어학원,대구광역시 수성구 들안로 96  12층 (두산동)
220,시지앤도버어학원,대구광역시 수성구 달구벌대로 3162  고산빌딩 3층 (노변동)
221,시지정상어학원,대구광역시 수성구 달구벌대로 3163  6층 (매호동)
222,LJ영어학원,대구광역시 수성구 달구벌대로501길 6 2층(범어동)
223,리얼스톤학원,대구광역시 중구 동성로3길 6  3층 4층 (삼덕동1가)
224,동호효성피아노음악학원,대구광역시 동구 동호로9길 26   1층 (신서동)
225,캐슬음악학원,대구광역시 수성구 청수로 213  캐슬골드파크4단지상가 213호 (황금동)
226,올라음악학원,대구광역시 수성구 범어로 68  3층 (범어동)
227,보이스임팩트실용음악학원,대구광역시 중구 동성로1길 22  5층 (덕산동)
228,다올음악학원,대구광역시 수성구 청수로 235  종합상가동 2층 216호 (황금동 캐슬골드파크 2단지)
229,비손실용음악학원,대구광역시 수성구 용학로44길 5   2층 (지산동)
230,연세음악미술학원,대구광역시 수성구 동대구로52길 17   5층 (범어동)
231,보라미술학원,대구광역시 동구 팔공로101길 39   1층 (지묘동)
232,큰나무독서실,대구광역시 수성구 동대구로50길 37  유림노르웨이숲아파트 상가동 3층 (범어동)
233,공단기소방단기한국공무원학원,대구광역시 중구 국채보상로 582   미도빌딩 3층 (남일동)
234,스놉스터디만촌센터독서실,대구광역시 수성구 화랑로2길 105  만촌메트로플라쟈 4층 (만촌동)
235,로지나음악학원,대구광역시 수성구 달구벌대로 3294  시지퍼스트 603 (신매동)
236,더스쿨학원,대구광역시 수성구 달구벌대로 2674   3층 (만촌동)
237,팩토수학실험과학학원,대구광역시 수성구 상록로 45-1   3층 (범어동)
238,김샘학원,대구광역시 수성구 달구벌대로525길 6  1~3층 (만촌동)
239,국제입시학원,대구광역시 수성구 달구벌대로496길 34  2.3층 (범어동)
240,엠브레인영재수학학원,대구광역시 수성구 교학로 54   3층 (만촌동)
241,참논술학원,대구광역시 수성구 달구벌대로 2477  8층 (범어동)
242,네이처X깊은수학학원,대구광역시 수성구 달구벌대로 2488 3층 일부
243,PDE입시학원,대구광역시 수성구 청수로 188  4층 (지산동)
244,써밋수학과학학원,대구광역시 수성구 범어로 61  2층 201호 (범어동 범어풀비체 아파트)
245,이주현영어학원,대구광역시 수성구 달구벌대로 2476  4층 일부 (범어동)
246,프리머학원,대구광역시 수성구 들안로 364  4층(수성동4가)
247,가인수학학원,대구광역시 수성구 동원로28길 50 만촌동 2층
248,루트원수학과학학원,대구광역시 수성구 상록로 32  4층 (범어동)
249,대구힐링음악학원,대구광역시 동구 화랑로 83   3층 (효목동)
250,애니클래스학원,대구광역시 동구 율하동로24길 67   서호빌딩 2층 3층 (서호동)
251,범어3셜대학원,대구광역시 수성구 범어천로 131  2~3층 (범어동)
252,리버데일수성어학원,대구광역시 수성구 들안로77길 30  수성태왕아너스 301동 208호 (범어동수성태왕아너스)
253,베이리스영어학원,대구광역시 수성구 용학로 232  3층 (지산동)
254,리틀스칼러즈어학원,대구광역시 수성구 청수로 168  3층일부 4층일부 (지산동)
255,종로학원하늘교육수성학원,대구광역시 수성구 명덕로 485  3층 (범어동)
256,씨앤이영어학원,대구광역시 수성구 달구벌대로 3169  4층 (매호동)
257,능률영어학원,대구광역시 수성구 용학로 240  2층 (지산동)
258,영어는에스티엘학원,대구광역시 수성구 달구벌대로496길 60   2층 (범어동)
259,FINENGLISH외국어학원,대구광역시 동구 송라로 3  4층 (신천동 한일빌딩)
260,시지크레오어학원,대구광역시 수성구 달구벌대로 3294  8층 702호 일부 703호 (신매동 시지퍼스트)
261,헤럴드NIE지산범물학원,대구광역시 수성구 지범로 175  4층 일부 (지산동)
262,에이프릴어학원,대구광역시 수성구 달구벌대로 2486   골드타워 4층 (범어동)
263,GnB메트로어학원,대구광역시 수성구 화랑로 56   5층 (만촌동)
264,금비음악학원,대구광역시 동구 안심로 402  영조아름다운나날1단지상가 119동 302호 (신서동)
265,혜인음악학원,대구광역시 중구 남산로 57   3층 (남산동)
266,바움음악학원,대구광역시 수성구 청수로 213  캐슬골드파크1단지 상가 301호 302호 (황금동)
267,리틀쇼팽음악학원,대구광역시 수성구 수성로 313-1   2층 (수성동1가)
268,솔리데오음악학원,대구광역시 중구 대봉로 261   2층 (봉산동)
269,메트로팔레스음악학원,대구광역시 수성구 동원로 100   메트로팔레스 상가 201호 (만촌동)
270,꿈나무계명피아노학원,대구광역시 수성구 수성로 34   2층 (상동)
271,New뮤즈음악학원,대구광역시 중구 명륜로23길 71   3층 (남산동)
272,필그린음악F필아트미술학원,대구광역시 수성구 만촌로 101  2층 일부 (만촌동)
273,마이뮤직피아노음악학원,대구광역시 동구 동호로11길 23   1층 (신서동)
274,신세계음악학원,대구광역시 수성구 욱수천로 133  시지2차사월보성타운 상가 201동 302호 (사월동)
275,다영피아노음악학원,대구광역시 수성구 지범로54길 15  110동 201호 (범물동 현대청림아파트)
276,예랑미술학원,대구광역시 수성구 청수로 235  캐슬골드파크 종합상가동 2층 209호 (황금동)
277,순수미술학원,대구광역시 중구 중앙대로 278  3층 (남산동)
278,프리즘만화학원,대구광역시 중구 중앙대로 270  3층  (남산동 대명빌딩)
279,정샘엑터멘토학원,대구광역시 중구 종로 17  3층 (종로2가)
280,넥스트스파르타대구수성관리형독서실,대구광역시 수성구 수성로 363   4층 (수성동1가)
281,중앙요리학원,대구광역시 중구 달구벌대로 2109-20  2층 3층 (덕산동)
282,플러스간호학원,대구광역시 동구 아양로 200   6층 (효목동)
283,메디원간호학원,대구광역시 동구 금강로 5   4층 (신서동)
284,양민완과학학원,대구광역시 수성구 달구벌대로 2584  4~5층 (만촌동)
285,하쌤입시학원,대구광역시 동구 동호로 61   2층 (동호동)
286,하이퍼영어수학학원,대구광역시 수성구 용학로44길 12   3층 4층 (지산동)
287,윤선생영어교실영어숲남산학원,대구광역시 중구 남산로 61 (남산동)
288,비탑영어학원,대구광역시 수성구 달구벌대로 2527 1101호(범어동)
289,난다영어수학학원,대구광역시 동구 안심로22길 56  느티타워 401호 (율하동)
290,프리윌에듀입시학원,대구광역시 동구 율하동로 34  3층 (율하동)
291,장경화영어학원,대구광역시 수성구 달구벌대로 2524   3층 (범어동)
292,이룸입시학원,대구광역시 수성구 파동로 108  5층 (파동)
293,델타학원,대구광역시 수성구 달구벌대로 2575  5층 6층 (만촌동)
294,김현승국어학원,대구광역시 수성구 달구벌대로 3294   시지퍼스트 1동 304호 (신매동)
295,에이치학원,대구광역시 수성구 청호로 405   외 1필지 3층 (범어동)
296,눈높이러닝센터신암1호학원,대구광역시 동구 신암로 80  302호 (신암동)
297,눈높이러닝센터파동학원,대구광역시 수성구 파동로 179   1층 (파동)
298,눈높이러닝센터신기학원,대구광역시 동구 율하동로24길 15   외 1필지 2층 (신기동)
299,CMS학원,대구광역시 수성구 청수로 194  3층 일부 (지산동 동대구농협 황금지점)
300,탑사이언스(TOPSCIENCE)과학학원,대구광역시 수성구 달구벌대로 2553 (만촌동) 7층
301,뉴클래스영어학원,대구광역시 동구 화랑로 415   외 1필지 2층 (방촌동)
302,줄탁입시학원,대구광역시 수성구 청호로 301 황금동 3층
303,이룸수학과학학원,대구광역시 수성구 청호로 424  4층 (범어동)
304,윤선생영어숲율하학원,대구광역시 동구 율하동로 36 율하동 5층
305,디엠수학학원,대구광역시 수성구 달구벌대로 2531   2층일부 (범어동)
306,대덕영재교육학원,대구광역시 수성구 달구벌대로 2348   수협G타워 9층 (수성동3가)
307,한국직업전문학원,대구광역시 동구 동부로28길 16  3층·4층 일부·5층 일부·6층 (신천동)
308,더지니어스(The Genius)어학원,대구광역시 수성구 상록로 49  345층 (범어동)
309,정상어학원,대구광역시 수성구 달구벌대로 2470  4층 일부 (범어동 동신건설사옥)
310,유플러스수성어학원,대구광역시 수성구 들안로 360  2층 204호 205호 206호 (수성동4가 수성 태영 데시앙상가)
311,엘뽀레창의놀이어학원,대구광역시 수성구 명덕로 455  수성3가롯데캐슬101동 311~315호 (수성동3가)
312,청어람학원,대구광역시 동구 팔공로51길 37  5층 503호 (봉무동)
313,윌그로우어학원,대구광역시 동구 안심로22길 40  우석타워 5층 501호 (율하동)
314,윤선생영어교실영어숲시지중앙어학원,대구광역시 수성구 고산로 121-23   2층 (매호동)
315,리틀팍스어학원,대구광역시 수성구 고산로 96   중원빌딩 6층 (신매동)
316,서울입시학원,대구광역시 수성구 명덕로 442-3 수성동3가 2층
317,윤선생영어숲신암어학원,대구광역시 동구 송라로 159   2층 3층 (신암동)
318,타임어학원,대구광역시 동구 동부로30길 12  5층 (신천동)
319,확인영어수학학원,대구광역시 수성구 용학로 230  3층 (지산동)
320,대쥬신학원,대구광역시 수성구 달구벌대로492길 35 (범어동) 3층
321,영어숲윤선생영어교실대구황금어학원,대구광역시 수성구 청수로45길 42   외 1필지 3층 (황금동)
322,대구범어포엠학원,대구광역시 수성구 달구벌대로 2507 9층(범어동)
323,에듀스카이항공승무원학원,대구광역시 중구 동성로6길 71   2층 (공평동)
324,루체음악학원,대구광역시 수성구 화랑로34길 121  1층 (만촌동)
325,위드유음악학원,대구광역시 수성구 명덕로 455  101동 308호(수성동3가 수성3가롯데캐슬단지상가)
326,양소영피아노아카데미학원,대구광역시 수성구 신매로 91  시지골든코아 111동 202호 일부 (신매동 시지삼주한라협화타운)
327,쇼팽음악학원,대구광역시 수성구 청호로69길 79   1-2층 (황금동)
328,오즈실용음악학원,대구광역시 수성구 달구벌대로 3167   3층 (매호동)
329,제이엔비율하음악학원,대구광역시 동구 안심로22길 60  504호 (율하동 동흥메디칼)
